Nombre,Municipio,Categoria,Modalidad,Email,Telefono,Web,Score_Responsabilidad,Motivo_Sector,Motivo_Arraigo,Motivo_Capacidad,Evidencia_Noticias,Analisis_Raw
ZAFIRO TOURS,ALACANT/ALICANTE,AGENCIA VIAJE,AGENCIA VIAJE,,965142906,http://www.zafirotours.es,3.5,Sector General (+0.5): Sin prioridad específica.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 0.5, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 2.0}","[""Sector General (+0.5)"", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave."", ""V\u00ednculo CRE Notable (+2.0): Nota media 9.5/10.""]"
EL ALTET,ELX/ELCHE,HOSTAL,HOSTAL,info@hostalelaltet.com,,http://www.hostalelaltet.com,3.5,Sector General (+0.5): Sin prioridad específica.,Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.,,"{""sector"": 0.5, ""territory"": 1.0, ""financial"": 0.0, ""news"": 2.0, ""cre_bonus"": 0.0}","[""Sector General (+0.5)"", ""Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave."", ""Actualidad Social (+2.0): Basado en evidencias de prensa.""]"
PAINTBALL INDOOR ALICANTE,ALACANT/ALICANTE,,,lucas.cardes@gmail.com,685310087,http://www.paintballindooralicante.com/,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
DEPORTES NÁUTICOS ALICANTE,BENIDORM,,,actividadesacuaticasalicante@gmail.com,609313580,http://actividadesacuaticasalicante.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
 CLUB DE SURF EL MORENO ALICANTE,ALACANT/ALICANTE,,,elmorenosurf@gmail.com,649556696,http://clubsurfelmoreno.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
ALICANTE CATAMARAN,ALACANT/ALICANTE,,,info@alicantecatamaran.com,694 443 820,https://www.alicantecatamaran.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
ALIJETSET RENTAL S.L.,ALACANT/ALICANTE,,,info@alijetset.com,617109482,http://alijetset.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
KARTING ALACANT,ALACANT/ALICANTE,,,info@kartingalacant.es    kartingalacant@gmail.com,669354480,http://kartingalacant.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
MARINA JETS ALICANTE,ALACANT/ALICANTE,,,marinajets.sl@gmail.com,610245967,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
MAKANA SUP,ALACANT/ALICANTE,,,info@makanasup.com,+34 623 362 532,https://makanasup.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
